"GEOID","Population","Housing_Units"
"060014506063",2307,859
"060014506071",2435,1012
"060014506072",1550,740
"060014506073",2069,805
"060014506081",1107,339
"060014506082",1814,674
"060014506083",1220,432
"060014506091",959,526
"060014506092",2071,720
"060014506093",1819,599
"060014507011",1171,388
"060014507012",1171,434
"060014507013",810,282
"060014507014",2691,849
"060014507015",2428,811
"060014507411",1963,738
"060014507412",1676,672
"060014507413",1843,683
"060014507421",1746,700
"060014507422",1504,497
"060014507423",2189,1079
"060014507431",3299,1228
"060014507432",1996,900
"060014507433",1591,673
"060014507434",2015,781
"060014507441",2943,967
"060014507442",3044,1319
"060014507451",3052,979
"060014507452",1629,669
"060014507453",1693,591
"060014507461",2494,950
"060014507462",744,282
"060014507501",2358,1035
"060014507502",4432,1667
"060014507511",7867,2145
"060014507512",4544,1352
"060014507521",6982,2106
"060014507522",2864,761
"060014511021",1166,435
"060014511022",1663,512
"060014511023",1126,425
"060014511031",18,2
"060014511032",1462,500
"060014511041",2232,761
"060014511042",2721,864
"060014511043",2075,879
"060014512011",2071,805
"060014512012",2537,977
"060014512013",1208,533
"060014512014",1455,475
"060014512021",3887,1545
"060014512022",802,289
"060014512023",1092,333
"060014513001",2996,1061
"060014513002",1621,591
"060014513003",1818,693
"060014514011",1510,699
"060014514012",2596,950
"060014514013",1947,763
"060014514031",974,351
"060014514032",1201,432
"060014514041",1854,660
"060014514042",1538,464
"060014514043",1879,610
"060014514044",1342,541
"060014515011",1626,781
"060014515012",1904,601
"060014515013",1390,550
"060014515031",2286,872
"060014515032",1005,399
"060014515033",738,272
"060014515034",1126,353
"060014515035",1365,522
"060014515041",1657,600
"060014515051",951,348
"060014515052",2226,806
"060014515061",2058,768
"060014515062",1065,343
"060014516011",1648,706
"060014516012",1737,581
"060014516013",1618,677
"060014516021",1294,736
"060014516022",1076,420
"060014516023",1842,680
"060014516024",1520,538
"060014516025",899,470
"060014517011",918,330
"060014517012",1500,511
"060014517013",852,272
"060014517031",1453,496
"060014517032",2499,841
"060014517041",1416,499
"060014517042",2257,791
"060014517043",899,404
"060019819001",49,25
"060019820001",206,41
"060019821001",1044,95
"060019832001",295,279
"060019832002",539,275
"060019900000",0,0
"060030100001",1204,1540
"060050001011",777,671
"060050001012",997,625
"060050001013",904,568
"060050001014",751,420
"060050001015",580,367
"060050001021",961,1107
"060050001022",931,544
"060050002011",923,453
"060050002012",1373,726
"060050002013",860,448
"060050002021",898,474
"060050002022",870,512
"060050003011",882,389
"060050003012",4844,390
"060050003031",1928,991
"060050003032",2047,836
"060050003033",2346,973
"060050003041",1853,789
"060050003042",2444,997
"060050004011",1419,668
"060050004012",1166,625
"060050004013",1571,852
"060050004014",990,517
"060050004021",1798,884
"060050004022",1078,470
"060050004023",890,413
"060050004024",1162,560
"060050005001",1176,581
"060050005002",921,474
"060050005003",1134,481
"060070001021",1401,610
"060070001022",1496,568
"060070001023",1305,644
"060070001031",3203,1210
"060070001032",2884,1081
"060070001041",1699,689
"060070001042",1583,788
"060070001043",1191,493
"060070001044",1680,635
"060070002011",1066,553
"060070002012",850,338
"060070002013",712,282
"060070002014",1842,885
"060070002021",1474,697
"060070002022",980,447
"060070002023",753,429
"060070002024",822,475
"060070003001",1065,425
"060070003002",2112,869
"060070003003",574,273
"060070003004",989,508
"060070004011",1950,751
"060070004012",3149,1261
"060070004031",1496,723
